Datetime,Water Level (m)
2023-01-20 18:00:00,0.5615125
2023-01-20 19:00:00,1.0789219
2023-01-20 20:00:00,1.1026278
2023-01-20 21:00:00,0.8218955
2023-01-20 22:00:00,0.3762664
2023-01-20 23:00:00,-0.023462769
2023-01-21 00:00:00,-0.30918384
2023-01-21 01:00:00,-0.5083101
2023-01-21 02:00:00,-0.68511945
2023-01-21 03:00:00,-0.8678329
2023-01-21 04:00:00,-1.0226835
2023-01-21 05:00:00,-0.36956155
2023-01-21 06:00:00,0.18960245
2023-01-21 07:00:00,0.4525067
2023-01-21 08:00:00,0.8067358
2023-01-21 09:00:00,0.5709413
2023-01-21 10:00:00,0.10592456
2023-01-21 11:00:00,-0.25039488
2023-01-21 12:00:00,-0.46741092
2023-01-21 13:00:00,-0.67334414
2023-01-21 14:00:00,-0.825188
2023-01-21 15:00:00,-0.994984
2023-01-21 16:00:00,-1.0954336
2023-01-21 17:00:00,-0.22362806
2023-01-21 18:00:00,0.40338314
2023-01-21 19:00:00,0.84984833
2023-01-21 20:00:00,1.4202083
2023-01-21 21:00:00,1.3414093
2023-01-21 22:00:00,0.90220547
2023-01-21 23:00:00,0.37245873
2023-01-22 00:00:00,-0.011373837
2023-01-22 01:00:00,-0.2819254
2023-01-22 02:00:00,-0.47329733
2023-01-22 03:00:00,-0.6596107
2023-01-22 04:00:00,-0.8498749
2023-01-22 05:00:00,-0.9783751
2023-01-22 06:00:00,-0.1387996
2023-01-22 07:00:00,0.3534929
2023-01-22 08:00:00,0.6996953
2023-01-22 09:00:00,0.9333602
2023-01-22 10:00:00,0.5949201
2023-01-22 11:00:00,0.10490177
2023-01-22 12:00:00,-0.22765188
2023-01-22 13:00:00,-0.4573708
2023-01-22 14:00:00,-0.6521281
2023-01-22 15:00:00,-0.8107875
2023-01-22 16:00:00,-0.98679894
2023-01-22 17:00:00,-1.0489253
2023-01-22 18:00:00,-0.041638628
2023-01-22 19:00:00,0.54502106
2023-01-22 20:00:00,1.1145605
2023-01-22 21:00:00,1.5061408
2023-01-22 22:00:00,1.2833698
2023-01-22 23:00:00,0.74249625
2023-01-23 00:00:00,0.25405642
2023-01-23 01:00:00,-0.08872252
2023-01-23 02:00:00,-0.33049628
2023-01-23 03:00:00,-0.51350063
2023-01-23 04:00:00,-0.701301
2023-01-23 05:00:00,-0.89214027
2023-01-23 06:00:00,-0.8404596
2023-01-23 07:00:00,0.06160191
2023-01-23 08:00:00,0.49109584
2023-01-23 09:00:00,0.95636165
2023-01-23 10:00:00,0.99866545
2023-01-23 11:00:00,0.59083885
2023-01-23 12:00:00,0.09095249
2023-01-23 13:00:00,-0.21063417
2023-01-23 14:00:00,-0.45327765
2023-01-23 15:00:00,-0.6356127
2023-01-23 16:00:00,-0.79814655
2023-01-23 17:00:00,-0.9717349
2023-01-23 18:00:00,-0.8499719
2023-01-23 19:00:00,0.16630538
2023-01-23 20:00:00,0.6580026
2023-01-23 21:00:00,1.3285894
2023-01-23 22:00:00,1.4817209
2023-01-23 23:00:00,1.1462877
2023-01-24 00:00:00,0.57524866
2023-01-24 01:00:00,0.1431306
2023-01-24 02:00:00,-0.17608495
2023-01-24 03:00:00,-0.3822531
2023-01-24 04:00:00,-0.567214
2023-01-24 05:00:00,-0.75654787
2023-01-24 06:00:00,-0.9426207
2023-01-24 07:00:00,-0.4735583
2023-01-24 08:00:00,0.24916102
2023-01-24 09:00:00,0.6197779
2023-01-24 10:00:00,1.0997823
2023-01-24 11:00:00,0.9659756
2023-01-24 12:00:00,0.50125015
2023-01-24 13:00:00,0.03430262
2023-01-24 14:00:00,-0.24461968
2023-01-24 15:00:00,-0.47836262
2023-01-24 16:00:00,-0.64791983
2023-01-24 17:00:00,-0.8183937
2023-01-24 18:00:00,-0.98716784
2023-01-24 19:00:00,-0.49180573
2023-01-24 20:00:00,0.3408698
2023-01-24 21:00:00,0.76156473
2023-01-24 22:00:00,1.389092
2023-01-24 23:00:00,1.3625479
2023-01-25 00:00:00,0.9380832
2023-01-25 01:00:00,0.39624658
2023-01-25 02:00:00,0.024116822
2023-01-25 03:00:00,-0.26016727
2023-01-25 04:00:00,-0.45217913
2023-01-25 05:00:00,-0.6322764
2023-01-25 06:00:00,-0.8241538
2023-01-25 07:00:00,-0.9711707
2023-01-25 08:00:00,-0.16536883
2023-01-25 09:00:00,0.38135093
2023-01-25 10:00:00,0.76541424
2023-01-25 11:00:00,1.1167551
2023-01-25 12:00:00,0.8786582
2023-01-25 13:00:00,0.40616134
2023-01-25 14:00:00,-0.0017358371
2023-01-25 15:00:00,-0.27450332
2023-01-25 16:00:00,-0.4859268
2023-01-25 17:00:00,-0.652819
2023-01-25 18:00:00,-0.82554454
2023-01-25 19:00:00,-0.971816
2023-01-25 20:00:00,-0.1549928
2023-01-25 21:00:00,0.46124104
2023-01-25 22:00:00,0.8762514
2023-01-25 23:00:00,1.324918
2023-01-26 00:00:00,1.1606841
2023-01-26 01:00:00,0.69145584
2023-01-26 02:00:00,0.22147512
2023-01-26 03:00:00,-0.105722055
2023-01-26 04:00:00,-0.35293496
2023-01-26 05:00:00,-0.53242797
2023-01-26 06:00:00,-0.7092755
2023-01-26 07:00:00,-0.8933239
2023-01-26 08:00:00,-0.82723206
2023-01-26 09:00:00,-0.01374791
2023-01-26 10:00:00,0.42663962
2023-01-26 11:00:00,0.87418985
2023-01-26 12:00:00,1.0421203
2023-01-26 13:00:00,0.7624394
2023-01-26 14:00:00,0.30727592
2023-01-26 15:00:00,-0.04497339
2023-01-26 16:00:00,-0.31656453
2023-01-26 17:00:00,-0.5071516
2023-01-26 18:00:00,-0.67178935
